,content,lower_case,clean_1,clean_2,normalized,tokens,stopword,stemming,sentimen
6619,"Game nya g seru,ikut ikutan ml lag parah","game nya g seru,ikut ikutan ml lag parah",game nya g seruikut ikutan ml lag parah,game nya g seruikut ikutan ml lag parah,game nya tidak seruikut ikutan ml lag parah,"['game', 'nya', 'tidak', 'seruikut', 'ikutan', 'ml', 'lag', 'parah']","['game', 'tidak', 'seruikut', 'ikutan', 'ml', 'lag', 'parah']","['game', 'tidak', 'seruikut', 'ikut', 'ml', 'lag', 'parah']",2.0
6621,Dasar pengikut mobile legens 🤬,dasar pengikut mobile legens 🤬,dasar pengikut mobile legens ,dasar pengikut mobile legens ,dasar pengikut mobile legends,"['dasar', 'pengikut', 'mobile', 'legends']","['dasar', 'pengikut', 'mobile', 'legends']","['dasar', 'ikut', 'mobile', 'legends']",2.0
6622,Game rusak parah,game rusak parah,game rusak parah,game rusak parah,game rusak parah,"['game', 'rusak', 'parah']","['game', 'rusak', 'parah']","['game', 'rusak', 'parah']",2.0
6623,"Matchmaking yang tidak seimbang, fix lag","matchmaking yang tidak seimbang, fix lag",matchmaking yang tidak seimbang fix lag,matchmaking yang tidak seimbang fix lag,matchmaking yang tidak seimbang fix lag,"['matchmaking', 'yang', 'tidak', 'seimbang', 'fix', 'lag']","['matchmaking', 'tidak', 'seimbang', 'fix', 'lag']","['matchmaking', 'tidak', 'imbang', 'fix', 'lag']",2.0
6624,Woi yang bener lah kalo pilihin tim masa kalah mulu 10× males main kek gini kalo kalah terus kasih kah tim yang seimbang masa kalo tim bot semua sampe 10× match kalah anjg,woi yang bener lah kalo pilihin tim masa kalah mulu 10× males main kek gini kalo kalah terus kasih kah tim yang seimbang masa kalo tim bot semua sampe 10× match kalah anjg,woi yang bener lah kalo pilihin tim masa kalah mulu  males main kek gini kalo kalah terus kasih kah tim yang seimbang masa kalo tim bot semua sampe  match kalah anjg,woi yang bener lah kalo pilihin tim masa kalah mulu males main kek gini kalo kalah terus kasih kah tim yang seimbang masa kalo tim bot semua sampe match kalah anjg,woi yang bener lah kalau pilihin tim masa kalah mulu males main seperti gini kalau kalah terus kasih kah tim yang seimbang masa kalau tim bot semua sampe match kalah anjing,"['woi', 'yang', 'bener', 'lah', 'kalau', 'pilihin', 'tim', 'masa', 'kalah', 'mulu', 'males', 'main', 'seperti', 'gini', 'kalau', 'kalah', 'terus', 'kasih', 'kah', 'tim', 'yang', 'seimbang', 'masa', 'kalau', 'tim', 'bot', 'semua', 'sampe', 'match', 'kalah', 'anjing']","['woi', 'bener', 'pilihin', 'tim', 'kalah', 'mulu', 'males', 'main', 'gini', 'kalah', 'kasih', 'kah', 'tim', 'seimbang', 'tim', 'bot', 'semua', 'sampe', 'match', 'kalah', 'anjing']","['woi', 'bener', 'pilihin', 'tim', 'kalah', 'mulu', 'males', 'main', 'gin', 'kalah', 'kasih', 'kah', 'tim', 'imbang', 'tim', 'bot', 'semua', 'sampe', 'match', 'kalah', 'anjing']",2.0
6625,"Mohon devloper saya mau bilang kalau hero saya suka jalan sendiri dan aku kendalikan juga gk bisa,tetap jalan sendiri. Dan pas dh Bisa dikendalikan mati dibunuh musuh mohon devloper di perbaiki","mohon devloper saya mau bilang kalau hero saya suka jalan sendiri dan aku kendalikan juga gk bisa,tetap jalan sendiri. dan pas dh bisa dikendalikan mati dibunuh musuh mohon devloper di perbaiki",mohon devloper saya mau bilang kalau hero saya suka jalan sendiri dan aku kendalikan juga gk bisatetap jalan sendiri dan pas dh bisa dikendalikan mati dibunuh musuh mohon devloper di perbaiki,mohon devloper saya mau bilang kalau hero saya suka jalan sendiri dan aku kendalikan juga gk bisatetap jalan sendiri dan pas dh bisa dikendalikan mati dibunuh musuh mohon devloper di perbaiki,mohon developer saya mau bilang kalau hero saya suka jalan sendiri dan aku kendalikan juga tidak bisatetap jalan sendiri dan pas dh bisa dikendalikan mati dibunuh musuh mohon developer di perbaiki,"['mohon', 'developer', 'saya', 'mau', 'bilang', 'kalau', 'hero', 'saya', 'suka', 'jalan', 'sendiri', 'dan', 'aku', 'kendalikan', 'juga', 'tidak', 'bisatetap', 'jalan', 'sendiri', 'dan', 'pas', 'dh', 'bisa', 'dikendalikan', 'mati', 'dibunuh', 'musuh', 'mohon', 'developer', 'di', 'perbaiki']","['mohon', 'developer', 'bilang', 'hero', 'suka', 'jalan', 'kendalikan', 'tidak', 'bisatetap', 'jalan', 'pas', 'dh', 'bisa', 'dikendalikan', 'mati', 'dibunuh', 'musuh', 'mohon', 'developer', 'perbaiki']","['mohon', 'developer', 'bilang', 'hero', 'suka', 'jalan', 'kendali', 'tidak', 'bisatetap', 'jalan', 'pas', 'dh', 'bisa', 'kendali', 'mati', 'bunuh', 'musuh', 'mohon', 'developer', 'baik']",2.0
6626,Game burik,game burik,game burik,game burik,game burik,"['game', 'burik']","['game', 'burik']","['game', 'burik']",2.0
6627,Mekanik Hero nya terlalu membinggungkan bagi player mlbb yang baru pindah ke hok. Tolong lah developer sesuai kan gameplay Hero nya.,mekanik hero nya terlalu membinggungkan bagi player mlbb yang baru pindah ke hok. tolong lah developer sesuai kan gameplay hero nya.,mekanik hero nya terlalu membinggungkan bagi player mlbb yang baru pindah ke hok tolong lah developer sesuai kan gameplay hero nya,mekanik hero nya terlalu membingungkan bagi player mlb yang baru pindah ke hok tolong lah developer sesuai kan gameplay hero nya,mekanik hero nya terlalu membingungkan bagi player mlbb yang baru pindah ke honor of kings tolong lah developer sesuai kan gameplay hero nya,"['mekanik', 'hero', 'nya', 'terlalu', 'membingungkan', 'bagi', 'player', 'mlbb', 'yang', 'baru', 'pindah', 'ke', 'honor', 'of', 'kings', 'tolong', 'lah', 'developer', 'sesuai', 'kan', 'gameplay', 'hero', 'nya']","['mekanik', 'hero', 'membingungkan', 'player', 'mlbb', 'baru', 'pindah', 'honor', 'of', 'kings', 'tolong', 'developer', 'sesuai', 'gameplay', 'hero']","['mekanik', 'hero', 'bingung', 'player', 'mlbb', 'baru', 'pindah', 'honor', 'of', 'kings', 'tolong', 'developer', 'sesuai', 'gameplay', 'hero']",2.0
6628,Game burik sering lag,game burik sering lag,game burik sering lag,game burik sering lag,game burik sering lag,"['game', 'burik', 'sering', 'lag']","['game', 'burik', 'sering', 'lag']","['game', 'burik', 'sering', 'lag']",2.0
6631,Maaf ini nggak bisa login,maaf ini nggak bisa login,maaf ini nggak bisa login,maf ini ngak bisa login,maaf ini tidak bisa login,"['maaf', 'ini', 'tidak', 'bisa', 'login']","['maaf', 'tidak', 'bisa', 'login']","['maaf', 'tidak', 'bisa', 'login']",2.0
6633,Game nya jelek game plagiat soalnya ya game buriq gapunya ide developernya awokakakakakkakaka,game nya jelek game plagiat soalnya ya game buriq gapunya ide developernya awokakakakakkakaka,game nya jelek game plagiat soalnya ya game buriq gapunya ide developernya awokakakakakkakaka,game nya jelek game plagiat soalnya ya game buriq gapunya ide developernya awokakakakakakaka,game nya jelek game plagiat soalnya ya game burik gapunya ide developernya awokakakakakakaka,"['game', 'nya', 'jelek', 'game', 'plagiat', 'soalnya', 'ya', 'game', 'burik', 'gapunya', 'ide', 'developernya', 'awokakakakakakaka']","['game', 'jelek', 'game', 'plagiat', 'ya', 'game', 'burik', 'gapunya', 'ide', 'developernya', 'awokakakakakakaka']","['game', 'jelek', 'game', 'plagiat', 'ya', 'game', 'burik', 'gapunya', 'ide', 'developer', 'awokakakakakakaka']",2.0
6634,Tolong kurangi player dark system dari luar negeri ataupun dalam negeri gw capek kena lose dark system mulu ya game jgn market doang yg di cari,tolong kurangi player dark system dari luar negeri ataupun dalam negeri gw capek kena lose dark system mulu ya game jgn market doang yg di cari,tolong kurangi player dark system dari luar negeri ataupun dalam negeri gw capek kena lose dark system mulu ya game jgn market doang yg di cari,tolong kurangi player dark system dari luar negeri ataupun dalam negeri gw capek kena lose dark system mulu ya game jgn market doang yg di cari,tolong kurangi player dark system dari luar negeri ataupun dalam negeri gw lelah kena lose dark system mulu ya game jangan market doang yang di cari,"['tolong', 'kurangi', 'player', 'dark', 'system', 'dari', 'luar', 'negeri', 'ataupun', 'dalam', 'negeri', 'gw', 'lelah', 'kena', 'lose', 'dark', 'system', 'mulu', 'ya', 'game', 'jangan', 'market', 'doang', 'yang', 'di', 'cari']","['tolong', 'kurangi', 'player', 'dark', 'system', 'luar', 'negeri', 'negeri', 'lelah', 'kena', 'lose', 'dark', 'system', 'mulu', 'ya', 'game', 'jangan', 'market', 'doang', 'cari']","['tolong', 'kurang', 'player', 'dark', 'system', 'luar', 'negeri', 'negeri', 'lelah', 'kena', 'lose', 'dark', 'system', 'mulu', 'ya', 'game', 'jangan', 'market', 'doang', 'cari']",2.0
6637,gamenya burik,gamenya burik,gamenya burik,gamenya burik,gamenya burik,"['gamenya', 'burik']","['gamenya', 'burik']","['gamenya', 'burik']",2.0
6639,Tolong perbaiki gamenya pas masuk Game nya ngelag terus padahal dah pake wifi ram msing kuat,tolong perbaiki gamenya pas masuk game nya ngelag terus padahal dah pake wifi ram msing kuat,tolong perbaiki gamenya pas masuk game nya ngelag terus padahal dah pake wifi ram msing kuat,tolong perbaiki gamenya pas masuk game nya ngelag terus padahal dah pake wifi ram msing kuat,tolong perbaiki gamenya pas masuk game nya ngelag terus padahal dah pake wifi ram msing kuat,"['tolong', 'perbaiki', 'gamenya', 'pas', 'masuk', 'game', 'nya', 'ngelag', 'terus', 'padahal', 'dah', 'pake', 'wifi', 'ram', 'msing', 'kuat']","['tolong', 'perbaiki', 'gamenya', 'pas', 'masuk', 'game', 'ngelag', 'dah', 'pake', 'wifi', 'ram', 'msing', 'kuat']","['tolong', 'baik', 'gamenya', 'pas', 'masuk', 'game', 'ngelag', 'dah', 'pake', 'wifi', 'ram', 'msing', 'kuat']",2.0
6642,Jelek,jelek,jelek,jelek,jelek,['jelek'],['jelek'],['jelek'],2.0
6644,Banyak Bug,banyak bug,banyak bug,banyak bug,banyak bug,"['banyak', 'bug']","['banyak', 'bug']","['banyak', 'bug']",2.0
6648,Banyak dark system,banyak dark system,banyak dark system,banyak dark system,banyak dark system,"['banyak', 'dark', 'system']","['banyak', 'dark', 'system']","['banyak', 'dark', 'system']",2.0
6649,game tolol,game tolol,game tolol,game tolol,game tolol,"['game', 'tolol']","['game', 'tolol']","['game', 'tolol']",2.0
6650,Lag,lag,lag,lag,lag,['lag'],['lag'],['lag'],2.0
6666,"Jaringannya sering jelek, buka game lain lancar, giliran hok ping naik turun, direport akhirnya. Prbaikin dlu deteksi afk nya","jaringannya sering jelek, buka game lain lancar, giliran hok ping naik turun, direport akhirnya. prbaikin dlu deteksi afk nya",jaringannya sering jelek buka game lain lancar giliran hok ping naik turun direport akhirnya prbaikin dlu deteksi afk nya,jaringanya sering jelek buka game lain lancar giliran hok ping naik turun direport akhirnya prbaikin dlu deteksi afk nya,jaringannya sering jelek buka game lain lancar sedangkan honor of kings ping naik turun direport akhirnya prbaikin dulu deteksi afk nya,"['jaringannya', 'sering', 'jelek', 'buka', 'game', 'lain', 'lancar', 'sedangkan', 'honor', 'of', 'kings', 'ping', 'naik', 'turun', 'direport', 'akhirnya', 'prbaikin', 'dulu', 'deteksi', 'afk', 'nya']","['jaringannya', 'sering', 'jelek', 'buka', 'game', 'lancar', 'honor', 'of', 'kings', 'ping', 'naik', 'turun', 'direport', 'prbaikin', 'deteksi', 'afk']","['jaring', 'sering', 'jelek', 'buka', 'game', 'lancar', 'honor', 'of', 'kings', 'ping', 'naik', 'turun', 'direport', 'prbaikin', 'deteksi', 'afk']",2.0
6670,GAK SUKA GAME INI,gak suka game ini,gak suka game ini,gak suka game ini,tidak suka game ini,"['tidak', 'suka', 'game', 'ini']","['tidak', 'suka', 'game']","['tidak', 'suka', 'game']",2.0
6671,"Setiap saya bermain kenapa terus terusan dapat tim yang buruk saya udah 20× kalah dirank, dan itu membuatku strees. Mohon maaf tolong berikan aku tim yang seimbang sama musuh, curang kalo musuh jago tapi tim ku tidak ada yang jago terakhir aku gold 1 sekarang gold3. mohon maaf tolong sering diperhatikan untuk tim tim","setiap saya bermain kenapa terus terusan dapat tim yang buruk saya udah 20× kalah dirank, dan itu membuatku strees. mohon maaf tolong berikan aku tim yang seimbang sama musuh, curang kalo musuh jago tapi tim ku tidak ada yang jago terakhir aku gold 1 sekarang gold3. mohon maaf tolong sering diperhatikan untuk tim tim",setiap saya bermain kenapa terus terusan dapat tim yang buruk saya udah  kalah dirank dan itu membuatku strees mohon maaf tolong berikan aku tim yang seimbang sama musuh curang kalo musuh jago tapi tim ku tidak ada yang jago terakhir aku gold  sekarang gold mohon maaf tolong sering diperhatikan untuk tim tim,setiap saya bermain kenapa terus terusan dapat tim yang buruk saya udah kalah dirank dan itu membuatku stres mohon maf tolong berikan aku tim yang seimbang sama musuh curang kalo musuh jago tapi tim ku tidak ada yang jago terakhir aku gold sekarang gold mohon maf tolong sering diperhatikan untuk tim tim,setiap saya bermain kenapa terus terusan dapat tim yang buruk saya udah kalah dirank dan itu membuatku stres mohon maaf tolong berikan aku tim yang seimbang sama musuh curang kalau musuh jago tapi tim aku tidak ada yang jago terakhir aku gold sekarang gold mohon maaf tolong sering diperhatikan untuk tim tim,"['setiap', 'saya', 'bermain', 'kenapa', 'terus', 'terusan', 'dapat', 'tim', 'yang', 'buruk', 'saya', 'udah', 'kalah', 'dirank', 'dan', 'itu', 'membuatku', 'stres', 'mohon', 'maaf', 'tolong', 'berikan', 'aku', 'tim', 'yang', 'seimbang', 'sama', 'musuh', 'curang', 'kalau', 'musuh', 'jago', 'tapi', 'tim', 'aku', 'tidak', 'ada', 'yang', 'jago', 'terakhir', 'aku', 'gold', 'sekarang', 'gold', 'mohon', 'maaf', 'tolong', 'sering', 'diperhatikan', 'untuk', 'tim', 'tim']","['bermain', 'terusan', 'tim', 'buruk', 'udah', 'kalah', 'dirank', 'membuatku', 'stres', 'mohon', 'maaf', 'tolong', 'tim', 'seimbang', 'musuh', 'curang', 'musuh', 'jago', 'tim', 'tidak', 'jago', 'gold', 'gold', 'mohon', 'maaf', 'tolong', 'sering', 'diperhatikan', 'tim', 'tim']","['main', 'terus', 'tim', 'buruk', 'udah', 'kalah', 'dirank', 'buat', 'stres', 'mohon', 'maaf', 'tolong', 'tim', 'imbang', 'musuh', 'curang', 'musuh', 'jago', 'tim', 'tidak', 'jago', 'gold', 'gold', 'mohon', 'maaf', 'tolong', 'sering', 'perhati', 'tim', 'tim']",2.0
6676,woi perbaikilah matchmakingnya gk jelas kl matchmakingnya,woi perbaikilah matchmakingnya gk jelas kl matchmakingnya,woi perbaikilah matchmakingnya gk jelas kl matchmakingnya,woi perbaikilah matchmakingnya gk jelas kl matchmakingnya,woi perbaikilah matchmakingnya tidak jelas kl matchmakingnya,"['woi', 'perbaikilah', 'matchmakingnya', 'tidak', 'jelas', 'kl', 'matchmakingnya']","['woi', 'perbaikilah', 'matchmakingnya', 'tidak', 'jelas', 'kl', 'matchmakingnya']","['woi', 'baik', 'matchmakingnya', 'tidak', 'jelas', 'kl', 'matchmakingnya']",2.0
6677,"Sama aj kaya ml, malah lebih bnyk drak sistemnya, kebanyakan KL ngga ngelawan yg lebih kuat ya ngelawan yg lemah, jarang Nemu yang seimbang","sama aj kaya ml, malah lebih bnyk drak sistemnya, kebanyakan kl ngga ngelawan yg lebih kuat ya ngelawan yg lemah, jarang nemu yang seimbang",sama aj kaya ml malah lebih bnyk drak sistemnya kebanyakan kl ngga ngelawan yg lebih kuat ya ngelawan yg lemah jarang nemu yang seimbang,sama aj kaya ml malah lebih bnyk drak sistemnya kebanyakan kl nga ngelawan yg lebih kuat ya ngelawan yg lemah jarang nemu yang seimbang,sama aja seperti ml malah lebih banyak dark system nya kebanyakan kl tidak ngelawan yang lebih kuat ya ngelawan yang lemah jarang nemu yang seimbang,"['sama', 'aja', 'seperti', 'ml', 'malah', 'lebih', 'banyak', 'dark', 'system', 'nya', 'kebanyakan', 'kl', 'tidak', 'ngelawan', 'yang', 'lebih', 'kuat', 'ya', 'ngelawan', 'yang', 'lemah', 'jarang', 'nemu', 'yang', 'seimbang']","['aja', 'ml', 'lebih', 'banyak', 'dark', 'system', 'kebanyakan', 'kl', 'tidak', 'ngelawan', 'lebih', 'kuat', 'ya', 'ngelawan', 'lemah', 'jarang', 'nemu', 'seimbang']","['aja', 'ml', 'lebih', 'banyak', 'dark', 'system', 'banyak', 'kl', 'tidak', 'ngelawan', 'lebih', 'kuat', 'ya', 'ngelawan', 'lemah', 'jarang', 'nemu', 'imbang']",2.0
6680,Pertahan tower/tower akhir sangat lemah..tanpa minion saja kita bisa hancurkan...terus sering fram rate .ping sering merah. Game apaan ini?????????????????????????,pertahan tower/tower akhir sangat lemah..tanpa minion saja kita bisa hancurkan...terus sering fram rate .ping sering merah. game apaan ini?????????????????????????,pertahan towertower akhir sangat lemahtanpa minion saja kita bisa hancurkanterus sering fram rate ping sering merah game apaan ini,pertahan towertower akhir sangat lemahtanpa minion saja kita bisa hancurkanterus sering fram rate ping sering merah game apan ini,pertahan towertower akhir sangat lemahtanpa minion saja kita bisa hancurkanterus sering fram rate ping sering merah game apaan ini,"['pertahan', 'towertower', 'akhir', 'sangat', 'lemahtanpa', 'minion', 'saja', 'kita', 'bisa', 'hancurkanterus', 'sering', 'fram', 'rate', 'ping', 'sering', 'merah', 'game', 'apaan', 'ini']","['pertahan', 'towertower', 'sangat', 'lemahtanpa', 'minion', 'bisa', 'hancurkanterus', 'sering', 'fram', 'rate', 'ping', 'sering', 'merah', 'game']","['tahan', 'towertower', 'sangat', 'lemahtanpa', 'minion', 'bisa', 'hancurkanterus', 'sering', 'fram', 'rate', 'ping', 'sering', 'merah', 'game']",2.0
6684,"Bagus sih permainannya, tapi grafiknya aja yang belum pas, sama kenapa aku ngeSTUCK di loading screen mulu ?? Wifi udah lancar, dan internet juga bagus. Aku capek nungguin loadingnya. 🥲","bagus sih permainannya, tapi grafiknya aja yang belum pas, sama kenapa aku ngestuck di loading screen mulu ?? wifi udah lancar, dan internet juga bagus. aku capek nungguin loadingnya. 🥲",bagus sih permainannya tapi grafiknya aja yang belum pas sama kenapa aku ngestuck di loading screen mulu  wifi udah lancar dan internet juga bagus aku capek nungguin loadingnya ,bagus sih permainanya tapi grafiknya aja yang belum pas sama kenapa aku ngestuck di loading scren mulu wifi udah lancar dan internet juga bagus aku capek nunguin loadingnya ,bagus sih permainanya tapi grafiknya saja yang belum pas sama kenapa aku ngestuck di loading screen mulu wifi udah lancar dan internet juga bagus aku lelah nunguin loadingnya,"['bagus', 'sih', 'permainanya', 'tapi', 'grafiknya', 'saja', 'yang', 'belum', 'pas', 'sama', 'kenapa', 'aku', 'ngestuck', 'di', 'loading', 'screen', 'mulu', 'wifi', 'udah', 'lancar', 'dan', 'internet', 'juga', 'bagus', 'aku', 'lelah', 'nunguin', 'loadingnya']","['bagus', 'sih', 'permainanya', 'grafiknya', 'pas', 'ngestuck', 'loading', 'screen', 'mulu', 'wifi', 'udah', 'lancar', 'internet', 'bagus', 'lelah', 'nunguin', 'loadingnya']","['bagus', 'sih', 'permainanya', 'grafik', 'pas', 'ngestuck', 'loading', 'screen', 'mulu', 'wifi', 'udah', 'lancar', 'internet', 'bagus', 'lelah', 'nunguin', 'loadingnya']",2.0
6685,Gua kalah terus dark sistem semua temen gua gestak di GOLD V1,gua kalah terus dark sistem semua temen gua gestak di gold v1,gua kalah terus dark sistem semua temen gua gestak di gold v,gua kalah terus dark sistem semua temen gua gestak di gold v,gua kalah terus dark system semua temen gua gestak di gold v,"['gua', 'kalah', 'terus', 'dark', 'system', 'semua', 'temen', 'gua', 'gestak', 'di', 'gold', 'v']","['kalah', 'dark', 'system', 'semua', 'temen', 'gestak', 'gold', 'v']","['kalah', 'dark', 'system', 'semua', 'temen', 'gestak', 'gold', 'v']",2.0
6687,matchmakingnya gajelas anjg,matchmakingnya gajelas anjg,matchmakingnya gajelas anjg,matchmakingnya gajelas anjg,matchmakingnya tidak jelas anjing,"['matchmakingnya', 'tidak', 'jelas', 'anjing']","['matchmakingnya', 'tidak', 'jelas', 'anjing']","['matchmakingnya', 'tidak', 'jelas', 'anjing']",2.0
6688,Sinyal nya lelet padahal sinyal hp nya bagus normal,sinyal nya lelet padahal sinyal hp nya bagus normal,sinyal nya lelet padahal sinyal hp nya bagus normal,sinyal nya lelet padahal sinyal hp nya bagus normal,sinyal nya lelet padahal sinyal hp nya bagus normal,"['sinyal', 'nya', 'lelet', 'padahal', 'sinyal', 'hp', 'nya', 'bagus', 'normal']","['sinyal', 'lelet', 'sinyal', 'hp', 'bagus', 'normal']","['sinyal', 'lelet', 'sinyal', 'hp', 'bagus', 'normal']",2.0
6689,Aneh bet game ny,aneh bet game ny,aneh bet game ny,aneh bet game ny,aneh banget game nya,"['aneh', 'banget', 'game', 'nya']","['aneh', 'banget', 'game']","['aneh', 'banget', 'game']",2.0
6690,Karena ngelek,karena ngelek,karena ngelek,karena ngelek,karena ngelag,"['karena', 'ngelag']",['ngelag'],['ngelag'],2.0
6692,"Dari segi hero sangat tidak imbang, item yang tidak begitu ngefek ke hero. Dan masih banyak hero yg perlu di perbaiki skill nya, karena sangat lambat","dari segi hero sangat tidak imbang, item yang tidak begitu ngefek ke hero. dan masih banyak hero yg perlu di perbaiki skill nya, karena sangat lambat",dari segi hero sangat tidak imbang item yang tidak begitu ngefek ke hero dan masih banyak hero yg perlu di perbaiki skill nya karena sangat lambat,dari segi hero sangat tidak imbang item yang tidak begitu ngefek ke hero dan masih banyak hero yg perlu di perbaiki skil nya karena sangat lambat,dari segi hero sangat tidak imbang item yang tidak begitu ngefek ke hero dan masih banyak hero yang perlu di perbaiki skill nya karena sangat lambat,"['dari', 'segi', 'hero', 'sangat', 'tidak', 'imbang', 'item', 'yang', 'tidak', 'begitu', 'ngefek', 'ke', 'hero', 'dan', 'masih', 'banyak', 'hero', 'yang', 'perlu', 'di', 'perbaiki', 'skill', 'nya', 'karena', 'sangat', 'lambat']","['segi', 'hero', 'sangat', 'tidak', 'imbang', 'item', 'tidak', 'ngefek', 'hero', 'banyak', 'hero', 'perbaiki', 'skill', 'sangat', 'lambat']","['segi', 'hero', 'sangat', 'tidak', 'imbang', 'item', 'tidak', 'ngefek', 'hero', 'banyak', 'hero', 'baik', 'skill', 'sangat', 'lambat']",2.0
6693,Game jelek turret cepet roboh map terlalu luas musuhnya pada hebat hebat huuuu game sampah,game jelek turret cepet roboh map terlalu luas musuhnya pada hebat hebat huuuu game sampah,game jelek turret cepet roboh map terlalu luas musuhnya pada hebat hebat huuuu game sampah,game jelek turet cepet roboh map terlalu luas musuhnya pada hebat hebat hu game sampah,game jelek turret cepet roboh map terlalu luas musuhnya pada hebat hebat hu game sampah,"['game', 'jelek', 'turret', 'cepet', 'roboh', 'map', 'terlalu', 'luas', 'musuhnya', 'pada', 'hebat', 'hebat', 'hu', 'game', 'sampah']","['game', 'jelek', 'turret', 'cepet', 'roboh', 'map', 'luas', 'musuhnya', 'hebat', 'hebat', 'hu', 'game', 'sampah']","['game', 'jelek', 'turret', 'cepet', 'roboh', 'map', 'luas', 'musuh', 'hebat', 'hebat', 'hu', 'game', 'sampah']",2.0
6694,Udah kena draks sistem kalah 16 kali.... Mulai diamond Pindah ke platinum.... GK ada menangnya... Makin kagak jelas.... Pembagian drapick nya..... Burik,udah kena draks sistem kalah 16 kali.... mulai diamond pindah ke platinum.... gk ada menangnya... makin kagak jelas.... pembagian drapick nya..... burik,udah kena draks sistem kalah  kali mulai diamond pindah ke platinum gk ada menangnya makin kagak jelas pembagian drapick nya burik,udah kena draks sistem kalah kali mulai diamond pindah ke platinum gk ada menangnya makin kagak jelas pembagian drapick nya burik,udah kena draks system kalah kali mulai diamond pindah ke platinum tidak ada menangnya makin tidak jelas pembagian drapick nya burik,"['udah', 'kena', 'draks', 'system', 'kalah', 'kali', 'mulai', 'diamond', 'pindah', 'ke', 'platinum', 'tidak', 'ada', 'menangnya', 'makin', 'tidak', 'jelas', 'pembagian', 'drapick', 'nya', 'burik']","['udah', 'kena', 'draks', 'system', 'kalah', 'kali', 'mulai', 'diamond', 'pindah', 'platinum', 'tidak', 'menangnya', 'tidak', 'jelas', 'pembagian', 'drapick', 'burik']","['udah', 'kena', 'draks', 'system', 'kalah', 'kali', 'mulai', 'diamond', 'pindah', 'platinum', 'tidak', 'menang', 'tidak', 'jelas', 'bagi', 'drapick', 'burik']",2.0
6696,Game nya jelek gerfic ya jelek,game nya jelek gerfic ya jelek,game nya jelek gerfic ya jelek,game nya jelek gerfic ya jelek,game nya jelek gerfic ya jelek,"['game', 'nya', 'jelek', 'gerfic', 'ya', 'jelek']","['game', 'jelek', 'gerfic', 'ya', 'jelek']","['game', 'jelek', 'gerfic', 'ya', 'jelek']",2.0
6698,Tolong dong teamnya jangan dark sistem terus dan sering frame drop,tolong dong teamnya jangan dark sistem terus dan sering frame drop,tolong dong teamnya jangan dark sistem terus dan sering frame drop,tolong dong teamnya jangan dark sistem terus dan sering frame drop,tolong dong teamnya jangan dark system terus dan sering frame drop,"['tolong', 'dong', 'teamnya', 'jangan', 'dark', 'system', 'terus', 'dan', 'sering', 'frame', 'drop']","['tolong', 'teamnya', 'jangan', 'dark', 'system', 'sering', 'frame', 'drop']","['tolong', 'teamnya', 'jangan', 'dark', 'system', 'sering', 'frame', 'drop']",2.0
6699,Game yang burik 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎dasar nyamain ML🖕🖕🖕🖕🖕,game yang burik 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎dasar nyamain ml🖕🖕🖕🖕🖕,game yang burik dasar nyamain ml,game yang burik dasar nyamain ml,game yang burik dasar nyamain ml,"['game', 'yang', 'burik', 'dasar', 'nyamain', 'ml']","['game', 'burik', 'dasar', 'nyamain', 'ml']","['game', 'burik', 'dasar', 'nyamain', 'ml']",2.0
6705,Game anj kasih tim gk jelass,game anj kasih tim gk jelass,game anj kasih tim gk jelass,game anj kasih tim gk jelas,game anjing kasih tim tidak jelas,"['game', 'anjing', 'kasih', 'tim', 'tidak', 'jelas']","['game', 'anjing', 'kasih', 'tim', 'tidak', 'jelas']","['game', 'anjing', 'kasih', 'tim', 'tidak', 'jelas']",2.0
6706,Tolong segera di perbaiki sering terjadi keluar sendiri saat berada di dalam game dan Joy stik kiri tolong di kasih posisi tetap.,tolong segera di perbaiki sering terjadi keluar sendiri saat berada di dalam game dan joy stik kiri tolong di kasih posisi tetap.,tolong segera di perbaiki sering terjadi keluar sendiri saat berada di dalam game dan joy stik kiri tolong di kasih posisi tetap,tolong segera di perbaiki sering terjadi keluar sendiri sat berada di dalam game dan joy stik kiri tolong di kasih posisi tetap,tolong segera di perbaiki sering terjadi keluar sendiri saat berada di dalam game dan joy stik kiri tolong di kasih posisi tetap,"['tolong', 'segera', 'di', 'perbaiki', 'sering', 'terjadi', 'keluar', 'sendiri', 'saat', 'berada', 'di', 'dalam', 'game', 'dan', 'joy', 'stik', 'kiri', 'tolong', 'di', 'kasih', 'posisi', 'tetap']","['tolong', 'perbaiki', 'sering', 'keluar', 'game', 'joy', 'stik', 'kiri', 'tolong', 'kasih', 'posisi']","['tolong', 'baik', 'sering', 'keluar', 'game', 'joy', 'stik', 'kiri', 'tolong', 'kasih', 'posisi']",2.0
6708,Ini gemnya gimana ya kok lama amat,ini gemnya gimana ya kok lama amat,ini gemnya gimana ya kok lama amat,ini gemnya gimana ya kok lama amat,ini gamenya gimana ya malah lama amat,"['ini', 'gamenya', 'gimana', 'ya', 'malah', 'lama', 'amat']","['gamenya', 'gimana', 'ya']","['gamenya', 'gimana', 'ya']",2.0
